cell,cell_x,cell_y,gene_A,gene_B,r_check,gene_A_count,gene_B_count,colocalization_count
98_241,-55388.68389423077,1492.608173076923,Gabra2,Gabrb1,0.5,1,0,0
98_243,-55330.625,1477.1009615384614,Gabra2,Gabrb1,0.5,1,0,0
98_244,-55434.25480769231,1473.6640625,Gabra2,Gabrb1,0.5,1,0,0
98_344,-55366.97115384616,1476.592548076923,Gabra2,Gabrb1,0.5,0,0,0
98_346,-55403.52163461538,1473.3617788461538,Gabra2,Gabrb1,0.5,0,0,0
99_2,-55436.682692307695,1467.3305288461538,Gabra2,Gabrb1,0.5,0,0,0
99_3,-55404.35096153846,1464.4375,Gabra2,Gabrb1,0.5,0,0,0
99_4,-55466.14182692307,1455.5288461538462,Gabra2,Gabrb1,0.5,0,0,0
99_8,-55460.54086538462,1443.4879807692307,Gabra2,Gabrb1,0.5,0,0,0
99_10,-55404.06850961539,1445.3070913461538,Gabra2,Gabrb1,0.5,0,0,0
99_12,-55489.91586538461,1435.0625,Gabra2,Gabrb1,0.5,0,0,0
99_13,-55349.95192307692,1430.7596153846152,Gabra2,Gabrb1,0.5,2,4,0
99_15,-55411.875,1431.0216346153843,Gabra2,Gabrb1,0.5,0,0,0
99_16,-55404.90384615384,1429.7644230769229,Gabra2,Gabrb1,0.5,0,0,0
99_17,-55320.81730769231,1430.7524038461538,Gabra2,Gabrb1,0.5,3,0,0
99_18,-55311.24999999999,1426.6117788461538,Gabra2,Gabrb1,0.5,0,0,0
99_25,-55378.05288461538,1399.1935096153845,Gabra2,Gabrb1,0.5,0,0,0
99_29,-55292.84254807692,1384.0811298076924,Gabra2,Gabrb1,0.5,0,0,0
99_37,-55444.90384615384,1364.2554086538462,Gabra2,Gabrb1,0.5,2,1,0
99_39,-55470.96754807692,1368.1358173076922,Gabra2,Gabrb1,0.5,0,2,0
99_57,-55316.05769230769,1352.762019230769,Gabra2,Gabrb1,0.5,4,4,0
99_81,-55477.1875,1339.048076923077,Gabra2,Gabrb1,0.5,3,4,0
99_84,-55319.30288461539,1336.1574519230767,Gabra2,Gabrb1,0.5,1,1,0
99_109,-55415.64903846154,1330.4038461538462,Gabra2,Gabrb1,0.5,0,0,0
99_114,-55490.08413461538,1328.6141826923076,Gabra2,Gabrb1,0.5,2,0,0
99_121,-55460.60096153846,1324.2818509615386,Gabra2,Gabrb1,0.5,1,1,0
99_138,-55497.289663461546,1320.1766826923076,Gabra2,Gabrb1,0.5,5,0,0
99_154,-55477.578125,1311.329326923077,Gabra2,Gabrb1,0.5,8,1,0
99_163,-55496.20192307692,1309.7493990384614,Gabra2,Gabrb1,0.5,0,2,0
99_169,-55460.28846153845,1308.4411057692307,Gabra2,Gabrb1,0.5,9,2,0
99_170,-55387.199519230766,1306.8557692307693,Gabra2,Gabrb1,0.5,3,2,0
99_179,-55487.24759615384,1306.6021634615383,Gabra2,Gabrb1,0.5,2,3,0
99_187,-55448.756009615376,1303.4254807692307,Gabra2,Gabrb1,0.5,4,1,0
99_188,-55462.74038461538,1299.25,Gabra2,Gabrb1,0.5,4,3,0
99_191,-55470.33653846154,1299.8413461538462,Gabra2,Gabrb1,0.5,1,0,0
99_192,-55440.054086538454,1300.2998798076924,Gabra2,Gabrb1,0.5,1,0,0
99_197,-55413.67788461539,1297.589543269231,Gabra2,Gabrb1,0.5,4,1,0
99_199,-55495.120192307695,1298.0558894230767,Gabra2,Gabrb1,0.5,7,1,0
99_202,-55430.06610576923,1297.7169471153845,Gabra2,Gabrb1,0.5,3,2,0
99_204,-55484.12259615384,1293.5300480769229,Gabra2,Gabrb1,0.5,7,5,0
99_211,-55310.9375,1292.1442307692307,Gabra2,Gabrb1,0.5,9,8,1
99_218,-55390.625,1291.5204326923076,Gabra2,Gabrb1,0.5,5,2,0
99_219,-55325.54086538462,1289.6778846153848,Gabra2,Gabrb1,0.5,1,0,0
99_222,-55370.82932692307,1287.0889423076922,Gabra2,Gabrb1,0.5,6,3,0
99_224,-55469.42307692307,1288.4651442307693,Gabra2,Gabrb1,0.5,2,1,0
99_229,-55437.085336538454,1289.3539663461538,Gabra2,Gabrb1,0.5,3,3,0
99_230,-55356.65865384616,1288.717548076923,Gabra2,Gabrb1,0.5,5,0,0
99_232,-55493.07692307692,1286.8125,Gabra2,Gabrb1,0.5,3,7,0
99_233,-55452.92067307692,1287.9603365384614,Gabra2,Gabrb1,0.5,2,0,0
99_234,-55399.86778846154,1289.3257211538462,Gabra2,Gabrb1,0.5,5,1,1
99_236,-55422.512019230766,1287.4795673076922,Gabra2,Gabrb1,0.5,4,1,0
99_238,-55412.66826923077,1288.7379807692307,Gabra2,Gabrb1,0.5,0,1,0
99_239,-55384.27884615384,1284.1129807692307,Gabra2,Gabrb1,0.5,5,2,0
99_240,-55444.57932692308,1283.2091346153843,Gabra2,Gabrb1,0.5,2,2,0
99_241,-55431.213942307695,1284.4296874999998,Gabra2,Gabrb1,0.5,0,4,0
99_244,-55462.28365384616,1283.8173076923076,Gabra2,Gabrb1,0.5,3,4,1
99_245,-55405.30048076923,1280.058894230769,Gabra2,Gabrb1,0.5,4,2,0
99_249,-55483.61778846154,1280.5060096153843,Gabra2,Gabrb1,0.5,2,5,0
99_250,-55393.53365384616,1279.7475961538462,Gabra2,Gabrb1,0.5,1,0,0
99_251,-55469.06249999999,1277.8305288461538,Gabra2,Gabrb1,0.5,0,2,0
99_253,-55363.68990384616,1274.1225961538462,Gabra2,Gabrb1,0.5,6,2,1
99_254,-55331.37019230769,1279.03125,Gabra2,Gabrb1,0.5,1,0,0
99_256,-55412.89663461538,1278.6586538461538,Gabra2,Gabrb1,0.5,0,0,0
99_258,-55456.43629807692,1278.6959134615383,Gabra2,Gabrb1,0.5,6,2,0
99_261,-55427.54807692308,1277.6093749999998,Gabra2,Gabrb1,0.5,2,0,0
99_263,-55341.47235576922,1277.9086538461538,Gabra2,Gabrb1,0.5,1,0,0
99_264,-55494.93990384616,1276.579326923077,Gabra2,Gabrb1,0.5,11,3,0
99_265,-55317.35576923077,1277.6802884615386,Gabra2,Gabrb1,0.5,1,2,0
99_266,-55435.859375,1274.3118990384614,Gabra2,Gabrb1,0.5,2,2,0
99_269,-55374.074519230766,1276.3665865384614,Gabra2,Gabrb1,0.5,3,4,0
99_271,-55448.82211538462,1273.0582932692307,Gabra2,Gabrb1,0.5,3,1,0
99_272,-55399.14663461538,1272.4771634615383,Gabra2,Gabrb1,0.5,0,1,0
99_273,-55386.526442307695,1273.0913461538462,Gabra2,Gabrb1,0.5,4,1,0
99_274,-55352.28365384615,1271.9134615384614,Gabra2,Gabrb1,0.5,4,5,0
99_275,-55462.57211538461,1270.5462740384614,Gabra2,Gabrb1,0.5,5,1,1
99_277,-55419.65144230769,1269.3094951923076,Gabra2,Gabrb1,0.5,8,4,0
99_279,-55478.48557692308,1268.9735576923076,Gabra2,Gabrb1,0.5,3,0,0
99_280,-55340.12620192308,1271.765625,Gabra2,Gabrb1,0.5,4,2,2
99_284,-55491.93509615384,1268.3641826923076,Gabra2,Gabrb1,0.5,4,4,0
99_285,-55408.137019230766,1270.371394230769,Gabra2,Gabrb1,0.5,0,1,0
99_286,-55296.40625,1268.2782451923076,Gabra2,Gabrb1,0.5,5,4,0
99_288,-55392.92668269231,1265.9777644230767,Gabra2,Gabrb1,0.5,3,6,2
99_290,-55381.147836538454,1265.2758413461538,Gabra2,Gabrb1,0.5,1,2,0
99_291,-55332.265625,1263.6592548076924,Gabra2,Gabrb1,0.5,1,2,0
99_296,-55456.544471153844,1263.4284855769229,Gabra2,Gabrb1,0.5,2,1,0
99_297,-55347.30769230769,1263.6622596153845,Gabra2,Gabrb1,0.5,2,3,0
99_298,-55446.574519230766,1260.8780048076924,Gabra2,Gabrb1,0.5,5,0,0
99_299,-55290.432692307695,1264.1550480769233,Gabra2,Gabrb1,0.5,0,0,0
99_301,-55435.63100961538,1259.7938701923076,Gabra2,Gabrb1,0.5,5,1,0
99_302,-55313.335336538454,1263.2211538461538,Gabra2,Gabrb1,0.5,0,2,0
99_304,-55472.43990384616,1261.2776442307693,Gabra2,Gabrb1,0.5,3,3,0
99_305,-55417.28365384615,1260.0030048076922,Gabra2,Gabrb1,0.5,3,1,0
99_307,-55408.14903846153,1261.6111778846152,Gabra2,Gabrb1,0.5,2,2,0
99_309,-55387.47596153846,1258.0757211538462,Gabra2,Gabrb1,0.5,2,6,0
99_310,-55362.52403846154,1260.6009615384617,Gabra2,Gabrb1,0.5,3,1,0
99_311,-55322.36778846153,1258.6346153846157,Gabra2,Gabrb1,0.5,2,0,0
99_312,-55426.74278846154,1259.3112980769229,Gabra2,Gabrb1,0.5,2,2,1
99_313,-55489.47115384616,1257.247596153846,Gabra2,Gabrb1,0.5,0,1,0
99_315,-55294.06249999999,1257.3810096153843,Gabra2,Gabrb1,0.5,5,1,0
99_319,-55305.40865384615,1257.8317307692307,Gabra2,Gabrb1,0.5,2,2,0
99_320,-55463.79807692307,1257.808894230769,Gabra2,Gabrb1,0.5,1,0,0
99_322,-55403.00480769231,1255.6838942307693,Gabra2,Gabrb1,0.5,6,3,0
99_323,-55374.026442307695,1255.4747596153843,Gabra2,Gabrb1,0.5,5,6,2
99_324,-55353.38942307692,1254.9236778846152,Gabra2,Gabrb1,0.5,6,1,0
99_325,-55343.93028846154,1253.6274038461538,Gabra2,Gabrb1,0.5,3,4,0
99_327,-55330.20432692307,1252.860576923077,Gabra2,Gabrb1,0.5,3,2,1
99_328,-55480.9375,1253.121394230769,Gabra2,Gabrb1,0.5,3,1,0
99_329,-55412.31971153846,1251.3353365384617,Gabra2,Gabrb1,0.5,3,3,1
99_330,-55395.69110576923,1250.6959134615386,Gabra2,Gabrb1,0.5,1,8,0
99_334,-55497.96874999999,1249.5336538461538,Gabra2,Gabrb1,0.5,2,3,0
99_335,-55441.71874999999,1246.014423076923,Gabra2,Gabrb1,0.5,5,4,0
99_336,-55451.16586538462,1249.0240384615386,Gabra2,Gabrb1,0.5,2,0,0
99_337,-55311.85096153845,1250.0,Gabra2,Gabrb1,0.5,7,5,1
99_338,-55382.07932692308,1248.248798076923,Gabra2,Gabrb1,0.5,3,4,0
99_339,-55465.14423076923,1250.1947115384617,Gabra2,Gabrb1,0.5,0,0,0
99_340,-55421.67067307692,1248.5600961538462,Gabra2,Gabrb1,0.5,4,3,0
99_341,-55361.53846153846,1247.4146634615383,Gabra2,Gabrb1,0.5,4,9,0
99_342,-55431.63461538462,1248.2608173076924,Gabra2,Gabrb1,0.5,6,1,0
99_343,-55301.50240384615,1242.9146634615383,Gabra2,Gabrb1,0.5,8,4,2
99_344,-55337.950721153844,1240.1015625,Gabra2,Gabrb1,0.5,1,2,0
99_345,-55402.44591346153,1245.8834134615383,Gabra2,Gabrb1,0.5,6,2,0
99_346,-55293.125,1246.3317307692307,Gabra2,Gabrb1,0.5,1,1,0
99_347,-55324.61538461538,1245.2596153846152,Gabra2,Gabrb1,0.5,2,2,0
99_348,-55351.40024038461,1243.2560096153845,Gabra2,Gabrb1,0.5,9,1,0
99_350,-55371.29807692308,1243.6310096153843,Gabra2,Gabrb1,0.5,5,1,0
99_351,-55393.62379807692,1241.9615384615386,Gabra2,Gabrb1,0.5,3,2,0
99_352,-55410.81730769231,1239.2728365384614,Gabra2,Gabrb1,0.5,1,3,0
99_356,-55383.557692307695,1239.8924278846152,Gabra2,Gabrb1,0.5,0,2,0
99_357,-55311.46634615384,1239.4399038461538,Gabra2,Gabrb1,0.5,4,1,0
99_359,-55461.730769230766,1236.828125,Gabra2,Gabrb1,0.5,1,0,0
99_360,-55471.862980769234,1237.1400240384614,Gabra2,Gabrb1,0.5,5,1,0
99_361,-55360.58894230769,1236.4122596153845,Gabra2,Gabrb1,0.5,7,0,0
99_362,-55319.26682692307,1237.4921875,Gabra2,Gabrb1,0.5,1,0,0
99_364,-55422.65625,1237.5540865384617,Gabra2,Gabrb1,0.5,0,3,0
99_366,-55331.06971153846,1234.2836538461538,Gabra2,Gabrb1,0.5,0,0,0
99_367,-55346.72475961538,1232.53125,Gabra2,Gabrb1,0.5,1,4,0
99_368,-55294.00240384615,1233.4603365384614,Gabra2,Gabrb1,0.5,4,2,0
99_369,-55433.22115384616,1229.0594951923076,Gabra2,Gabrb1,0.5,2,1,0
99_371,-55302.87259615384,1232.3725961538462,Gabra2,Gabrb1,0.5,3,3,0
99_372,-55388.32932692308,1228.550480769231,Gabra2,Gabrb1,0.5,1,1,0
99_373,-55377.95673076923,1229.8233173076924,Gabra2,Gabrb1,0.5,6,0,0
99_375,-55478.14903846154,1232.3617788461538,Gabra2,Gabrb1,0.5,0,0,0
99_376,-55354.71153846154,1229.2680288461538,Gabra2,Gabrb1,0.5,0,0,0
99_377,-55315.21634615384,1229.269230769231,Gabra2,Gabrb1,0.5,5,2,0
99_378,-55397.56610576922,1230.746394230769,Gabra2,Gabrb1,0.5,0,0,0
99_380,-55403.34134615384,1227.0552884615386,Gabra2,Gabrb1,0.5,1,0,0
99_381,-55424.48317307692,1230.0889423076924,Gabra2,Gabrb1,0.5,1,0,0
99_382,-55324.152644230766,1229.4567307692307,Gabra2,Gabrb1,0.5,2,2,0
99_385,-55454.64543269231,1224.6009615384614,Gabra2,Gabrb1,0.5,0,0,0
99_386,-55329.87379807692,1226.4212740384614,Gabra2,Gabrb1,0.5,0,3,0
99_389,-55302.53605769231,1216.157451923077,Gabra2,Gabrb1,0.5,4,9,0
99_390,-55293.46153846153,1223.2139423076922,Gabra2,Gabrb1,0.5,2,0,0
99_391,-55333.77403846154,1220.207331730769,Gabra2,Gabrb1,0.5,4,3,0
99_393,-55396.917067307695,1224.1225961538462,Gabra2,Gabrb1,0.5,0,0,0
99_394,-55346.21394230769,1221.5967548076924,Gabra2,Gabrb1,0.5,2,1,0
99_396,-55338.85817307692,1219.3665865384614,Gabra2,Gabrb1,0.5,1,2,0
99_397,-55320.81129807692,1218.8383413461538,Gabra2,Gabrb1,0.5,5,2,0
99_399,-55420.54086538462,1218.3858173076922,Gabra2,Gabrb1,0.5,0,0,0
99_400,-55355.84735576923,1215.8768028846155,Gabra2,Gabrb1,0.5,8,1,0
99_403,-55314.489182692305,1212.551081730769,Gabra2,Gabrb1,0.5,2,5,0
99_405,-55390.390625,1214.25,Gabra2,Gabrb1,0.5,0,0,0
99_406,-55401.23798076923,1211.53125,Gabra2,Gabrb1,0.5,0,1,0
99_407,-55342.75240384616,1211.5709134615386,Gabra2,Gabrb1,0.5,8,1,0
99_408,-55293.05288461538,1209.3167067307693,Gabra2,Gabrb1,0.5,1,4,0
99_413,-55481.45432692308,1206.3311298076924,Gabra2,Gabrb1,0.5,0,1,0
99_414,-55324.537259615376,1203.347355769231,Gabra2,Gabrb1,0.5,0,3,0
99_416,-55362.31971153846,1202.347355769231,Gabra2,Gabrb1,0.5,6,3,1
99_417,-55332.638221153844,1201.1556490384614,Gabra2,Gabrb1,0.5,1,1,0
99_418,-55306.12379807692,1200.3239182692307,Gabra2,Gabrb1,0.5,4,0,0
99_424,-55291.13581730769,1192.977764423077,Gabra2,Gabrb1,0.5,0,0,0
99_427,-55457.89663461538,1188.6586538461538,Gabra2,Gabrb1,0.5,0,6,0
99_432,-55399.61538461538,1186.6430288461538,Gabra2,Gabrb1,0.5,4,1,1
99_434,-55418.62980769231,1181.7602163461538,Gabra2,Gabrb1,0.5,5,3,0
99_437,-55332.34374999999,1179.3233173076922,Gabra2,Gabrb1,0.5,1,2,0
99_438,-55291.98317307692,1171.9038461538462,Gabra2,Gabrb1,0.5,5,1,0
99_439,-55506.700721153844,1174.5685096153845,Gabra2,Gabrb1,0.5,0,0,0
99_441,-55336.94711538462,1171.264423076923,Gabra2,Gabrb1,0.5,0,0,0
99_445,-55360.72115384616,1163.8822115384614,Gabra2,Gabrb1,0.5,0,0,0
99_446,-55411.83894230769,1161.3209134615386,Gabra2,Gabrb1,0.5,2,0,0
99_455,-55328.17307692308,1147.2596153846157,Gabra2,Gabrb1,0.5,2,0,0
99_458,-55398.07692307692,1141.8161057692307,Gabra2,Gabrb1,0.5,4,1,0
99_461,-55359.362980769234,1142.9567307692307,Gabra2,Gabrb1,0.5,0,1,0
99_465,-55462.6141826923,1143.9939903846155,Gabra2,Gabrb1,0.5,0,0,0
99_466,-55477.58413461538,1144.0396634615383,Gabra2,Gabrb1,0.5,0,0,0
99_481,-55332.75240384615,1133.4999999999998,Gabra2,Gabrb1,0.5,7,4,0
99_484,-55301.808894230766,1135.7433894230771,Gabra2,Gabrb1,0.5,0,0,0
99_492,-55312.073317307695,1133.105769230769,Gabra2,Gabrb1,0.5,6,0,0
99_494,-55492.31370192306,1130.4591346153845,Gabra2,Gabrb1,0.5,4,1,0
99_495,-55462.19350961538,1132.957331730769,Gabra2,Gabrb1,0.5,0,0,0
99_498,-55476.35817307692,1125.983173076923,Gabra2,Gabrb1,0.5,2,0,0
99_501,-55417.10336538461,1129.0528846153843,Gabra2,Gabrb1,0.5,0,5,0
99_507,-55485.52884615384,1125.7896634615383,Gabra2,Gabrb1,0.5,2,1,0
99_519,-55449.63942307692,1121.1454326923076,Gabra2,Gabrb1,0.5,2,3,0
99_521,-55409.855769230766,1120.340144230769,Gabra2,Gabrb1,0.5,2,0,0
99_523,-55460.901442307695,1120.7289663461538,Gabra2,Gabrb1,0.5,0,2,0
99_529,-55375.588942307695,1120.3221153846152,Gabra2,Gabrb1,0.5,1,2,0
99_531,-55386.43028846154,1116.0973557692307,Gabra2,Gabrb1,0.5,6,0,0
99_532,-55366.977163461546,1121.7644230769233,Gabra2,Gabrb1,0.5,0,2,0
99_533,-55426.02163461538,1116.8942307692307,Gabra2,Gabrb1,0.5,1,2,0
99_536,-55495.68509615384,1118.0228365384617,Gabra2,Gabrb1,0.5,6,7,0
99_542,-55432.99278846154,1114.8185096153845,Gabra2,Gabrb1,0.5,0,0,0
99_545,-55484.15865384616,1116.219951923077,Gabra2,Gabrb1,0.5,0,0,0
99_546,-55394.57932692308,1115.8004807692307,Gabra2,Gabrb1,0.5,0,1,0
99_551,-55468.94230769231,1115.2584134615386,Gabra2,Gabrb1,0.5,1,0,0
99_553,-55349.51923076923,1112.7878605769229,Gabra2,Gabrb1,0.5,1,0,0
99_555,-55438.810096153844,1113.9314903846152,Gabra2,Gabrb1,0.5,1,1,0
99_562,-55475.63100961538,1110.423076923077,Gabra2,Gabrb1,0.5,7,2,0
99_563,-55461.69471153846,1110.3840144230767,Gabra2,Gabrb1,0.5,4,8,0
99_564,-55447.57211538461,1112.2578124999998,Gabra2,Gabrb1,0.5,5,0,0
99_566,-55295.637019230766,1112.2992788461538,Gabra2,Gabrb1,0.5,0,0,0
99_569,-55368.52163461538,1107.4879807692307,Gabra2,Gabrb1,0.5,1,0,0
99_570,-55334.44711538461,1109.6802884615386,Gabra2,Gabrb1,0.5,3,1,0
99_576,-55400.43269230769,1103.0084134615386,Gabra2,Gabrb1,0.5,8,7,1
99_577,-55419.62740384615,1107.6045673076924,Gabra2,Gabrb1,0.5,0,0,0
99_582,-55407.69230769231,1107.201923076923,Gabra2,Gabrb1,0.5,1,1,0
99_583,-55376.29807692307,1108.076923076923,Gabra2,Gabrb1,0.5,2,0,0
99_584,-55303.22115384615,1103.5252403846152,Gabra2,Gabrb1,0.5,4,3,0
99_585,-55361.18990384615,1104.688701923077,Gabra2,Gabrb1,0.5,7,4,1
99_586,-55431.91105769231,1104.8942307692307,Gabra2,Gabrb1,0.5,5,1,1
99_587,-55391.887019230766,1104.884014423077,Gabra2,Gabrb1,0.5,4,3,0
99_589,-55494.52524038462,1105.325721153846,Gabra2,Gabrb1,0.5,3,1,0
99_592,-55441.82692307692,1105.7596153846152,Gabra2,Gabrb1,0.5,4,0,0
99_593,-55292.84855769231,1103.2421875,Gabra2,Gabrb1,0.5,0,0,0
99_598,-55452.45192307692,1105.045673076923,Gabra2,Gabrb1,0.5,3,0,0
99_600,-55385.991586538454,1102.6856971153845,Gabra2,Gabrb1,0.5,1,1,0
99_601,-55323.82211538462,1100.5727163461538,Gabra2,Gabrb1,0.5,3,1,0
99_607,-55479.387019230766,1102.0889423076922,Gabra2,Gabrb1,0.5,2,5,0
99_612,-55354.46514423077,1099.8671875,Gabra2,Gabrb1,0.5,3,4,0
99_613,-55337.43990384615,1096.7884615384617,Gabra2,Gabrb1,0.5,0,0,0
99_622,-55488.82211538462,1094.6676682692307,Gabra2,Gabrb1,0.5,1,0,0
99_623,-55309.30288461538,1096.9711538461538,Gabra2,Gabrb1,0.5,6,2,0
99_625,-55439.84375,1096.2055288461538,Gabra2,Gabrb1,0.5,7,1,0
99_626,-55406.45432692308,1093.8052884615383,Gabra2,Gabrb1,0.5,0,1,0
99_627,-55347.76442307692,1095.3485576923076,Gabra2,Gabrb1,0.5,2,2,0
99_629,-55420.20432692307,1093.5901442307693,Gabra2,Gabrb1,0.5,1,0,0
99_630,-55371.77884615384,1094.3052884615383,Gabra2,Gabrb1,0.5,4,2,0
99_635,-55430.86538461538,1094.5030048076924,Gabra2,Gabrb1,0.5,4,1,0
99_639,-55454.84975961539,1091.3828125,Gabra2,Gabrb1,0.5,4,3,0
99_640,-55297.52403846154,1091.9591346153843,Gabra2,Gabrb1,0.5,6,0,0
99_642,-55361.88701923077,1092.1983173076924,Gabra2,Gabrb1,0.5,4,2,0
99_644,-55398.89423076923,1091.7061298076924,Gabra2,Gabrb1,0.5,5,6,0
99_645,-55382.241586538454,1092.832331730769,Gabra2,Gabrb1,0.5,2,0,0
99_647,-55480.042067307695,1091.0366586538462,Gabra2,Gabrb1,0.5,8,4,2
99_648,-55329.40504807692,1089.2319711538462,Gabra2,Gabrb1,0.5,5,2,0
99_649,-55318.37740384616,1092.7217548076922,Gabra2,Gabrb1,0.5,2,0,0
99_654,-55414.61538461538,1085.8942307692307,Gabra2,Gabrb1,0.5,3,0,0
99_655,-55340.20432692308,1087.605769230769,Gabra2,Gabrb1,0.5,11,3,0
99_659,-55496.52644230769,1086.1478365384614,Gabra2,Gabrb1,0.5,2,3,0
99_660,-55305.480769230766,1084.9008413461538,Gabra2,Gabrb1,0.5,2,4,0
99_661,-55471.544471153844,1085.9020432692307,Gabra2,Gabrb1,0.5,1,1,0
99_662,-55443.24519230769,1087.8209134615383,Gabra2,Gabrb1,0.5,5,0,0
99_663,-55352.05528846153,1084.9879807692307,Gabra2,Gabrb1,0.5,5,2,1
99_664,-55368.28124999999,1085.6153846153843,Gabra2,Gabrb1,0.5,6,1,0
99_668,-55427.151442307695,1082.8016826923076,Gabra2,Gabrb1,0.5,3,5,0
99_669,-55394.18269230769,1084.2415865384614,Gabra2,Gabrb1,0.5,6,5,0
99_671,-55381.45432692308,1083.983173076923,Gabra2,Gabrb1,0.5,0,0,0
99_672,-55460.39663461538,1082.9278846153843,Gabra2,Gabrb1,0.5,5,2,0
99_673,-55324.87980769231,1081.7361778846152,Gabra2,Gabrb1,0.5,3,0,0
99_675,-55316.32211538461,1083.3076923076924,Gabra2,Gabrb1,0.5,0,0,0
99_679,-55436.12379807692,1081.2409855769233,Gabra2,Gabrb1,0.5,6,1,0
99_680,-55407.48798076923,1080.751201923077,Gabra2,Gabrb1,0.5,7,2,0
99_681,-55298.449519230766,1082.4302884615386,Gabra2,Gabrb1,0.5,2,3,0
99_682,-55291.47836538461,1082.7301682692307,Gabra2,Gabrb1,0.5,0,0,0
